img_id,tag_list,rating
7446444,"['super mario bros.', 'bowsette', 'fan character', 'bowser', 'high resolution', 'crown', 'female', 'pixiv id 179882', 'solo', 'super crown']", Safe
7446449,"['cteno', 'blithedragon', 'high resolution', 'completely nude', 'extra arms', 'looking at viewer', 'monster girl', 'multicolored hair', 'nude', 'ponytail', 'red eyes', 'smile', 'tail', 'tied hair', 'tongue', 'tongue out', 'vagina']", Explicit
7446450,"['original', 'boar', 'blade (lovewn)', '2019', '1girl', 'animal', 'ass', 'black footwear', 'black gloves', 'black legwear', 'boots', 'chinese zodiac', ':d', 'ear piercing', 'elbow gloves', 'female', 'gloves', 'hair ornament', 'hair ribbon', 'happy new year', 'knee boots', 'long hair', 'looking at viewer', 'low twintails', 'new year', 'open mouth', 'piercing', 'red eyes', 'ribbon', 'silver hair', 'smile', 'solo', 'tail', 'thighhighs', 'thighhighs under boots', 'tied hair', 'twintails', 'very long hair', 'year of the pig', 'yellow ribbon']", Safe
7446447,"['splatoon', 'splatoon 2', 'splatoon (series)', 'inkling', 'taroji', '1boy', '4girls', 'bangs', 'black eyes', 'blonde', 'blunt bangs', 'blush', 'breasts', 'cellphone', 'collared shirt', 'cropped torso', 'dark skin', 'domino mask', 'drawstring', 'earrings', 'eyes closed', 'fangs', 'female', 'frown', 'green hair', 'green hat', 'grey eyes', 'hand in hair', 'hat', 'headphones', 'holding', 'holding cellphone', 'holding object', 'holding phone', 'hood', 'hoodie', 'inkling (language)', 'jewelry', 'large breasts', 'light blush', 'long hair', 'long sleeves', 'looking at viewer', 'looking to the side', 'male', 'mask', 'multiple girls', 'orange eyes', 'parted lips', 'phone', 'pink hair', 'pointed ears', 'ponytail', 'print hat', 'purple hair', 'red eyes', 'shirt', 'short hair', 'short ponytail', 'smartphone', 'tank top', 'tentacle hair', 'tied hair', 'white shirt']", Safe
7446446,"['girls frontline', 'wa2000 (girls frontline)', 'm1903 springfield (girls frontline)', 'welrod mk2 (girls frontline)', 'commander (girls frontline)', 'animated', 'animated gif', '1boy', '3girls', 'about to be raped', 'angry', 'bald', 'blush', 'boots', 'bullpup', 'female', 'gloves', 'gun', 'jacket', 'male', 'military', 'military uniform', 'multiple girls', 'pervert', 'pool of blood', 'rifle', 'scared', 'smelling feet', 'sniper rifle', 'surprised', 'uniform', 'walther', 'walther wa 2000', 'weapon']", Safe
7446445,"['splatoon', 'splatoon 2', 'splatoon (series)', 'inkling', 'squidbeak splatoon', 'taroji', '1girl', 'baseball cap', 'black footwear', 'black hat', 'black shorts', 'closed mouth', 'cross-laced footwear', 'dutch angle', 'female', 'frown', 'full body', 'grey eyes', 'hat', 'holding', 'holding weapon', 'inkling (language)', 'ink tank (splatoon)', 'jacket', 'logo', 'long sleeves', 'looking at viewer', 'medium hair', 'orange hair', 'outdoors', 'print hat', 'shoes', 'shorts', 'short shorts', 'solo', 'splattershot (splatoon)', 'standing', 'tentacle hair', 'weapon', 'yellow jacket']", Safe
7446442,"['splatoon', 'splatoon 2', 'splatoon (series)', 'octoling', 'kojajji-kun (splatoon)', 'taroji', 'high resolution', '1girl', 'black dress', 'black footwear', 'black hat', 'blonde', 'blue sky', 'boots', 'cat', 'closed mouth', 'cloud', 'cloudy sky', 'dress', 'female', 'hat', 'heel up', 'holding', 'holding weapon', 'inkbrush (splatoon)', 'in profile', 'light blush', 'long hair', 'long sleeves', 'looking at viewer', 'looking back', 'makeup', 'mascara', 'outdoors', 'paint splatter', 'pointed ears', 'red eyes', 'short dress', 'sky', 'smile', 'solo', 'standing', 'tentacle hair', 'weapon', 'witch hat']", Safe
7446443,"['virtual youtuber', 'houtengeki', 'high resolution', 'abstract background', '1girl', 'asymmetrical legwear', 'bag', 'bracelet', 'breasts', 'capelet', 'collared shirt', ';d', 'epaulettes', 'female', 'gold trim', 'hair ornament', 'hair ribbon', 'handbag', 'hat', 'high ponytail', 'jewelry', 'long hair', 'military hat', 'miniskirt', 'mole', 'mole under eye', 'oda nobuhime', 'oda nobuhime (channel)', 'one eye closed', 'open mouth', 'pink hair', 'pleated skirt', 'purple eyes', 'red ribbon', 'ribbon', 'shirt', 'single thighhigh', 'skirt', 'sleeveless', 'small breasts', 'smile', 'solo', 'thighhighs', 'thighs', 'v', 'white skirt', 'wink', 'zettai ryouiki']", Safe
7446441,"['star wars', 'padme amidala', 'natalie portman', 'boobsgames', 'high resolution', 'celebrity', 'areolae', 'breasts', 'erect nipples', 'female', 'hetero', 'huge breasts', 'huge penis', 'male', 'nipples', 'penis', 'tekoki']", Explicit
7446439,"['valkyria chronicles (series)', 'kai schulen', 'santystuff', '1:1 aspect ratio', 'breasts', 'large breasts', 'nude']", Explicit
7446440,"['sailor moon (series)', 'tsukino usagi', 'neocoill', 'white background', '1:1 aspect ratio', '1girl', 'areolae', 'blonde', 'blue eyes', 'breasts', 'female', 'lips', 'long hair', 'looking at viewer', 'medium breasts', 'nipples', 'smile', 'solo', 'tied hair', 'tongue', 'tongue out', 'twintails', 'upper body', 'v', 'very long hair']", Questionable
7446437,"['girls frontline', 'thompson submachine gun (girls frontline)', 'xie yizhen', 'high resolution', 'spanish text', '1girl', 'aiming at viewer', 'black panties', 'black pants', 'black underwear', 'cigarette', 'eyebrows visible through hair', 'fedora', 'female', 'gloves', 'goodbye', 'gun', 'hat', 'jacket', 'jacket on shoulders', 'looking at viewer', 'megane', 'navel', 'pants', 'pantsu', 'purple hair', 'red eyes', 'shiny', 'shirt', 'smoking', 'solo', 'submachine gun', 'tattoo', 'thompson submachine gun', 'underwear', 'unzipped', 'weapon', 'white shirt']", Safe
7446438,"['kantai collection', 'zuihou (kantai collection)', 'sa-ya2', 'high resolution', '1:1 aspect ratio', 'traditional media', '1girl', 'alternative costume', 'brown eyes', 'chinese zodiac', 'cowboy shot', 'eyebrows visible through hair', 'female', 'floral print', 'grey hair', 'hachimaki', 'happy new year', 'headband', 'high ponytail', 'kimono', 'long hair', 'new year', 'obi', 'open mouth', 'ponytail', 'print kimono', 'red kimono', 'ribbon', 'sash', 'smile', 'solo', 'tied hair', 'wafuku', 'white ribbon', 'year of the pig']", Safe
7446433,"['zombie land saga', 'minamoto sakura', 'blurry background', '1girl', 'ahoge', 'arm behind back', 'belly', 'bikini', 'blue eyes', 'breasts', 'closed mouth', 'eyebrows visible through hair', 'female', 'green hair ornament', 'green hair ribbon', 'green ribbon', 'hair ornament', 'hair ribbon', 'long hair', 'looking at viewer', 'makeup', 'medium breasts', 'meme', 'minamoto sakura (zombieland saga)', 'pink bikini', 'pink hair ornament', 'pink hair ribbon', 'pink ribbon', 'pool', 'poolside', 'red hair', 'ribbon', 'smile', 'solo', 'standing', 'stockings', 'swimsuit', 'teenager', 'white stockings', 'zombie']", Safe
7446435,"['splatoon', 'splatoon 2', 'splatoon (series)', 'octarian', 'octoling', 'taroji', 'high resolution', 'very high resolution', 'white background', '1girl', 'black hair', 'black shorts', 'collared shirt', 'dark skin', 'female', 'grey eyes', 'holding', 'holding weapon', 'inkbrush (splatoon)', 'ink tank (splatoon)', 'long hair', 'long sleeves', 'makeup', 'mascara', 'paint splatter', 'parted lips', 'pointed ears', 'shirt', 'shoes', 'shorts', 'solo', 'spats', 'standing', 'tentacle hair', 'weapon', 'white footwear', 'white shirt']", Safe
